2022-11-13 11:28:25,569 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1017.406/1017.406/1017.406/0.000 ms
2022-11-13 11:28:26,794 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.186/6.186/6.186/0.000 ms
2022-11-13 11:28:28,030 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.413/9.413/9.413/0.000 ms
2022-11-13 11:28:29,257 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.993/10.993/10.993/0.000 ms
2022-11-13 11:28:30,477 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.316/2.316/2.316/0.000 ms
2022-11-13 16:00:09,690 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.299/7.299/7.299/0.000 ms
2022-11-13 16:00:10,912 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.805/5.805/5.805/0.000 ms
2022-11-13 16:00:12,137 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.683/10.683/10.683/0.000 ms
2022-11-13 16:00:13,365 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.803/10.803/10.803/0.000 ms
2022-11-13 16:00:14,589 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.376/8.376/8.376/0.000 ms
2022-11-13 16:05:43,305 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.216/9.216/9.216/0.000 ms
2022-11-13 16:05:44,529 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.068/9.068/9.068/0.000 ms
2022-11-13 16:05:45,757 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.282/12.282/12.282/0.000 ms
2022-11-13 16:05:46,973 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.465/2.465/2.465/0.000 ms
2022-11-13 16:05:48,193 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.474/3.474/3.474/0.000 ms
2022-11-13 16:44:25,833 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.192/7.192/7.192/0.000 ms
2022-11-13 16:44:51,312 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 17.213/17.213/17.213/0.000 ms
2022-11-13 16:49:07,801 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.169/7.169/7.169/0.000 ms
2022-11-13 17:10:46,669 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1030.918/1030.918/1030.918/0.000 ms
2022-11-13 17:14:04,326 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1.905/1.905/1.905/0.000 ms
2022-11-13 18:56:09,572 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:10,798 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.055/8.055/8.055/0.000 ms
2022-11-13 18:56:12,017 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.326/5.326/5.326/0.000 ms
2022-11-13 18:56:13,233 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.826/3.826/3.826/0.000 ms
2022-11-13 18:56:14,449 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.501/2.501/2.501/0.000 ms
2022-11-13 18:56:15,672 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.841/5.841/5.841/0.000 ms
2022-11-13 18:56:16,893 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.452/5.452/5.452/0.000 ms
2022-11-13 18:56:18,109 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.315/2.315/2.315/0.000 ms
2022-11-13 18:56:19,346 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.227/7.227/7.227/0.000 ms
2022-11-13 18:56:20,565 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.800/2.800/2.800/0.000 ms
2022-11-14 15:48:17,183 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.875/8.875/8.875/0.000 ms
2022-11-14 15:48:18,421 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.858/14.858/14.858/0.000 ms
2022-11-14 15:48:19,650 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.167/9.167/9.167/0.000 ms
2022-11-14 15:48:20,891 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.284/5.284/5.284/0.000 ms
2022-11-14 15:48:22,127 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.731/9.731/9.731/0.000 ms
2022-11-14 15:48:23,350 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.891/2.891/2.891/0.000 ms
2022-11-14 15:48:24,571 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.387/2.387/2.387/0.000 ms
2022-11-14 15:48:25,796 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.614/3.614/3.614/0.000 ms
2022-11-14 15:48:27,026 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.487/8.487/8.487/0.000 ms
2022-11-14 15:48:28,270 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.670/4.670/4.670/0.000 ms
2022-11-14 17:37:30,562 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.400/8.400/8.400/0.000 ms
2022-11-14 17:37:31,819 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.937/7.937/7.937/0.000 ms
2022-11-14 17:37:33,077 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.018/11.018/11.018/0.000 ms
2022-11-14 17:37:34,307 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.805/5.805/5.805/0.000 ms
2022-11-14 17:37:35,535 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.600/2.600/2.600/0.000 ms
2022-11-14 17:37:36,758 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.724/6.724/6.724/0.000 ms
2022-11-14 17:37:37,986 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.172/7.172/7.172/0.000 ms
2022-11-14 17:37:39,206 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 2.186/2.186/2.186/0.000 ms
2022-11-14 17:37:40,456 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.834/10.834/10.834/0.000 ms
2022-11-14 17:37:41,683 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.000/8.000/8.000/0.000 ms
2022-11-14 17:51:18,439 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.037/8.037/8.037/0.000 ms
2022-11-14 17:51:19,703 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.918/8.918/8.918/0.000 ms
2022-11-14 17:51:20,959 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.213/10.213/10.213/0.000 ms
2022-11-14 17:51:22,211 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.467/7.467/7.467/0.000 ms
2022-11-14 17:51:23,450 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.656/7.656/7.656/0.000 ms
2022-11-14 17:51:24,674 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.916/7.916/7.916/0.000 ms
2022-11-14 17:51:25,902 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.264/6.264/6.264/0.000 ms
2022-11-14 17:51:27,146 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.393/7.393/7.393/0.000 ms
2022-11-14 17:51:28,366 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.209/5.209/5.209/0.000 ms
2022-11-14 17:51:29,591 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.169/5.169/5.169/0.000 ms
2022-11-14 17:52:50,472 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.845/9.845/9.845/0.000 ms
2022-11-14 17:52:51,698 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.202/6.202/6.202/0.000 ms
2022-11-14 17:52:52,941 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.074/7.074/7.074/0.000 ms
2022-11-14 17:52:54,172 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.415/4.415/4.415/0.000 ms
2022-11-14 17:52:55,407 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.264/9.264/9.264/0.000 ms
2022-11-14 17:52:56,627 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.374/5.374/5.374/0.000 ms
2022-11-14 17:52:57,853 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.857/5.857/5.857/0.000 ms
