2022-11-13 17:14:07,396 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:14:41,637 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:15:27,430 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:38:34,949 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:47:28,778 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:47:33,061 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:47:37,350 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:47:41,636 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 17:47:45,924 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:54:33,125 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:54:37,414 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:54:41,705 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:54:45,990 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:54:50,281 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:55:50,437 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:55:54,725 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:55:59,013 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:03,301 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:07,593 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:11,876 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:16,168 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:20,452 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:24,740 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-13 18:56:29,029 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:48:58,670 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:02,961 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:07,245 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:11,570 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:15,858 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:20,143 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:24,430 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:28,718 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:33,011 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 15:49:37,294 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:22:42,126 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:22:46,414 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:22:50,702 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:22:54,992 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:22:59,277 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:23:03,570 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:23:07,854 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:23:12,145 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:23:16,430 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:23:20,718 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:39:51,950 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:39:56,239 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:00,526 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:04,814 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:09,102 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:13,400 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:17,710 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:21,998 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:26,285 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-14 16:40:30,576 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:18,447 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:22,770 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:27,090 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:31,407 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:35,697 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:39,985 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:44,289 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:48,622 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:52,910 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
2022-11-21 17:27:57,231 INFO Source-IP: 2.2.2.2 | Available: False | Round-trip min/avg/max/stddev = 0/0/0/0 ms
